Product description (FAOSTAT),Global average
Wheat,1277.2112739948207
"Rice, paddy",1145.5182165143665
Barley,1213.3221402092704
Maize,947.1963480386853
Rye,1419.4273294865054
Oats,1478.705099293561
Millet,4305.762649478713
Sorghum,2857.396956180033
Buckwheat,2768.807099443117
Quinoa,4183.90354460429
Fonio,4937.7738597482785
Triticale,826.3563050689291
Canary seed,4872.245918047735
Mixed grain,1598.077485641575
"Cereals, nes",3316.384833511668
Potatoes,190.91805742730926
Sweet potatoes,324.32494763179915
Cassava,549.9878339880064
Yautia (cocoyam),848.8532811957305
Taro (coco yam),587.2329026319012
Yams,341.25799162692806
Roots and tubers nes,348.0976986521254
Sugar cane,139.26836919411576
Sugar beet,81.89237906801341
"Sugar crops, nes",979.5147167653664
"Beans, dry",3944.7833894568535
"Broad beans, horse beans, dry",1316.56816557795
"Peas, dry",1452.9204110263322
Chick peas,2971.736518496256
"Cow peas, dry",6840.724245214893
Pigeon peas,4739.077994319928
Lentils,4324.332035503649
Bambara beans,3162.350741889513
Vetches,2030.9269496946795
Lupins,1350.340422751526
Pulses nes,2217.369376242814
"Brazil nuts, with shell",248.38289118562145
Cashew nuts,12853.087226646165
Chestnuts,2431.92226101738
"Almonds, with shell",4631.834753612437
"Walnuts, with shell",2805.4848557801674
Pistachios,3094.559587133535
Kolanuts,23344.661995492384
"Hazelnuts, with shell",3813.4129019443108
Arecanuts,10620.525025017725
"Nuts, nes",8378.615281800121
Soybeans,2037.0420908011135
Groundnuts in shell,2468.5094607409133
Coconuts,2669.470462780405
Oil palm,1057.0872413454726
Olives,2470.426170468812
Castor oil seed,8423.067292859461
Sunflower seed,3017.464859451644
Rapeseed,1703.364379345226
Safflower seed,5999.71565287057
Sesame seed,8459.87430098123
Mustard seed,2462.9482357748943
Poppy seed,1723.3370301413975
Melonseed,5086.989760045504
Seed cotton,2282.3817587796384
Linseed,4729.866936371388
Hempseed,3256.8648141532203
"Oilseeds, Nes",3229.859638585451
Cabbages and other brassicas,181.11665541934627
Artichokes,477.7589271396203
Asparagus,1523.9990934186478
Lettuce and chicory,132.53947534036908
Spinach,118.2856435014057
Tomatoes,107.87460656845042
Cauliflowers and broccoli,189.28672245225448
"Pumpkins, squash and gourds",228.20628343827744
Cucumbers and gherkins,206.485370627298
Eggplants (aubergines),233.8853172564206
"Chillies and peppers, green",239.74950179543146
"Onions (inc. shallots), green",176.38933078610802
"Onions, dry",192.2477337581506
Garlic,337.26300459477073
"Beans, green",319.5389782433498
"Peas, green",382.00645882804713
String beans,300.9650322038195
Carrots and turnips,105.73059158326859
Okra,474.37887822737525
"Maize, green",455.08953990530136
Carobs,4556.992156417614
Vegetables fresh nes,204.56280277245213
Bananas,659.7268952846108
Plantains,1569.6176802207196
Oranges,400.9158838996657
"Tangerines, mandarins, clem.",478.9045624614117
Lemons and limes,432.067053652282
Grapefruit (inc. pomelos),367.4589203539754
"Citrus fruit, nes",1145.059250410315
Apples,561.3469908553988
Pears,644.8048809451902
Apricots,693.8033582319887
Sour cherries,1098.334863305738
Cherries,960.9504017125058
Peaches and nectarines,582.5547316015737
Plums and sloes,1570.4332218950733
"Stone fruit, nes",867.5037849408217
Strawberries,200.97515043090985
Raspberries,292.58703643275186
Gooseberries,486.97130502756033
Currants,457.07215907503473
Blueberries,341.45307603670886
Cranberries,90.92948417933712
Berries Nes,200.0618186620096
Grapes,424.89256152330233
Watermelons,149.99276363221682
Other melons (inc.cantaloupes),125.147743706971
Figs,1504.4892847738618
"Mangoes, mangosteens, guavas",1313.9389680294944
Avocados,849.1639683329605
Pineapples,214.97129310018872
Dates,929.70250015086
Cashewapple,3637.8370005642737
Kiwi fruit,306.7134115843881
Papayas,399.0703340015445
"Fruit, tropical fresh nes",1455.3963049379306
Fruit Fresh Nes,1198.5868727635955
"Coffee, green",15248.520094295924
Cocoa beans,19744.66866937386
Tea,7231.922085999521
Hops,2382.059285725621
Pepper (Piper spp.),6540.256341956659
"Chillies and peppers, dry",5869.029793522011
Vanilla,86391.8601392072
Cinnamon (canella),14853.222365230093
Cloves,59833.57932505032
"Nutmeg, mace and cardamoms",30682.594944124587
"Anise, badian, fennel, corian.",5369.458269587753
Ginger,1525.0900207161692
"Spices, nes",2734.9162164762797
Peppermint,206.19683766548854
Flax fibre and tow,2637.430081146921
Hemp Tow Waste,1823.5197418090647
Jute,2355.834589212622
Other Bastfibres,3492.2975158435347
Ramie,3711.714134324206
Sisal,6111.659183529502
Agave Fibres Nes,6434.249974556093
Manila Fibre (Abaca),19376.311385815337
Fibre Crops Nes,5796.407009061258
"Tobacco, unmanufactured",2020.5631873233847
Natural rubber,12963.92673023426
